Market Name,Cascade,FDD/TDD,Sector ID,Source_eNB Name,Source_eNB ID,Source_LSM,Source_Cell ID,Source_eNB OAM VLAN ,Source_eNB OAM VLAN prefix (/30),Source_OAM GW IP ,Source_eNB OAM IP,Source_eNB S&B VLAN,Source_eNB S&B VLAN  prefix (/30) ,Source_S&B GW IP ,Source_eNB S&B IP,Source_BH Port,Source_Cabinet_Type,Target_eNB Name,Target_eNB ID,Target_LSM,Target_Cell ID,Target_eNB OAM VLAN ,Target_eNB OAM VLAN prefix (/30),Target_OAM GW IP ,Target_eNB OAM IP,Target_eNB S&B VLAN,Target_eNB S&B VLAN  prefix (/30) ,Target_S&B GW IP ,Target_eNB S&B IP,Target_BH Port,Target_Cabinet_Type,TAC(Hex),PCI,RACH,Band,DL Center Freq MHz,UL Center Freq MHz,Bandwidth (MHz),EARFCN_DL,EARFCN_UL,Start EARFCN1,Start EARFCN2,MME IP,Tx Diversity,Rx Diveristy,Tx Path Assignment (AB/CD/ABCD/ABCDEFGH),Attenuation/Path,"RS Boost (Option - OFF, 3dB, 6 dB, 1.2 dB, 4.2 dB)",EAIU_Type,EAIU SN,Expansion Cabinet,RRH Type,RRH subtype,No. of ALD,Electrical Tilt,Output Power (watt),Center Line (Ft)
LCV,LA04UB140,FDD,0,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,0,32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,0,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,417,545,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D502261,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,1,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,1,32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,9,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,250,555,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D502261,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,2,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,2,32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,18,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,2,565,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D502261,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,0,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,3,32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,1,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,417,545,25,1937.5,1857.5,5,8115,26115,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D502261,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,1,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,4,32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,10,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,250,555,25,1937.5,1857.5,5,8115,26115,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D502261,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,2,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,5,32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,19,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,2,565,25,1937.5,1857.5,5,8115,26115,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D502261,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,0,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,15(locked),32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,2,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,417,545,26,866.3,821.3,5,8763,26763,,,10.156.11.188/10.156.3.188,2T,2Rx,AB,0,3,EAIU4-U,SE2D502261,Yes,RRH_C2,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,1,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,16(locked),32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,11,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,250,555,26,866.3,821.3,5,8763,26763,,,10.156.11.188/10.156.3.188,2T,2Rx,AB,0,3,EAIU4-U,SE2D502261,Yes,RRH_C2,0,0,TBD,TBD,TBD
LCV,LA04UB140,FDD,2,DELNCABJBBULTE0614401,614401,sjslsmr02lems2,17(locked),32,30,111.21.77.225,111.21.77.226,40,30,10.149.0.25,10.149.0.26,0,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,20,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,2,565,26,866.3,821.3,5,8763,26763,,,10.156.11.188/10.156.3.188,2T,2Rx,AB,0,3,EAIU4-U,SE2D502261,Yes,RRH_C2,0,0,TBD,TBD,TBD
LCV,LA04UB140,TDD,0,DELNCABJBBULTE0619601,619601,taclsmu01ep01,0,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,3,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,6,432,41,2538.2,2538.2,20,40270,40270,40154,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E700023,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB140,TDD,1,DELNCABJBBULTE0619601,619601,taclsmu01ep01,1,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,4,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,7,440,41,2538.2,2538.2,20,40270,40270,40154,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E700023,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB140,TDD,2,DELNCABJBBULTE0619601,619601,taclsmu01ep01,2,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,DELNCABJBBULTE0614401,614401,taclsmu01ep01,5,34,30,111.21.77.233,111.21.77.234,42,30,10.149.9.173,10.149.9.174,1,Outdoor,4B05,8,448,41,2538.2,2538.2,20,40270,40270,40154,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E700023,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,FDD,0,MCFACAAOBBULTE0614402,614402,sjslsmr02lems2,0,32,30,111.21.78.33,111.21.78.34,40,30,10.149.0.33,10.149.0.34,0,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,0,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,270,305,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2DA24521,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB141,FDD,1,MCFACAAOBBULTE0614402,614402,sjslsmr02lems2,1,32,30,111.21.78.33,111.21.78.34,40,30,10.149.0.33,10.149.0.34,0,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,9,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,5,315,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2DA24521,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB141,FDD,2,MCFACAAOBBULTE0614402,614402,sjslsmr02lems2,2,32,30,111.21.78.33,111.21.78.34,40,30,10.149.0.33,10.149.0.34,0,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,18,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,433,325,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2DA24521,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB141,FDD,0,MCFACAAOBBULTE0614402,614402,sjslsmr02lems2,3,32,30,111.21.78.33,111.21.78.34,40,30,10.149.0.33,10.149.0.34,0,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,1,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,270,305,25,1937.5,1857.5,5,8115,26115,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2DA24521,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB141,FDD,1,MCFACAAOBBULTE0614402,614402,sjslsmr02lems2,4,32,30,111.21.78.33,111.21.78.34,40,30,10.149.0.33,10.149.0.34,0,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,10,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,5,315,25,1937.5,1857.5,5,8115,26115,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2DA24521,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB141,FDD,2,MCFACAAOBBULTE0614402,614402,sjslsmr02lems2,5,32,30,111.21.78.33,111.21.78.34,40,30,10.149.0.33,10.149.0.34,0,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,19,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,433,325,25,1937.5,1857.5,5,8115,26115,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2DA24521,Yes,RRH_P4,0,0,TBD,TBD,TBD
LCV,LA04UB141,TDD,0,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,0,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,3,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,12,312,41,2518.4,2518.4,20,39874,39874,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,1,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,1,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,4,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,13,320,41,2518.4,2518.4,20,39874,39874,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,2,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,2,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,5,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,14,328,41,2518.4,2518.4,20,39874,39874,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,0,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,3,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,12,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,12,312,41,2538.2,2538.2,20,40072,40072,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,1,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,4,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,13,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,13,320,41,2538.2,2538.2,20,40072,40072,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,2,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,5,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,14,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,14,328,41,2538.2,2538.2,20,40072,40072,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,0,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,6,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,6,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,12,312,41,2558,2558,20,40270,40270,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,1,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,7,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,7,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,13,320,41,2558,2558,20,40270,40270,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB141,TDD,2,MCFACAAOBBULTE0619602,619602,taclsmu01ep01,8,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,MCFACAAOBBULTE0614402,614402,taclsmu01ep01,8,34,30,111.21.78.41,111.21.78.42,42,30,10.149.9.177,10.149.9.178,1,Outdoor,4B05,14,328,41,2558,2558,20,40270,40270,39774,,10.156.11.188/10.156.3.188,8T,8R,ABCDEFGH,0,1.2,EAIU4-UA,S43E800259,Yes,RRH-B8,0,1,TBD,TBD,TBD
LCV,LA04UB142,FDD,0,WASCCAAVBBULTE0614403,614403,sjslsmr02lems2,0,32,30,111.21.78.97,111.21.78.98,40,30,10.149.0.41,10.149.0.42,0,Outdoor,WASCCAAVBBULTE0614403,614403,sjslsmr02lems2,0,32,30,111.21.78.97,111.21.78.98,40,30,10.149.0.41,10.149.0.42,0,Outdoor,4B05,225,575,25,1992.5,1912.5,5,8665,26665,,,10.156.11.188/10.156.3.188,2T,4Rx,AB,0,6,EAIU4-U,SE2D408878,No,RRH_P4,0,0,TBD,TBD,TBD
